idade,profissao,educacao,meio_contato,mes,dia_da_semana,duracao,dias_ultimo_contato,qtd_contatos_total,campanha_anterior,indice_precos_consumidor,indice_confianca_consumidor,euribor3m,numero_empregados,resultado
56,0,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
57,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
37,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
40,2,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
56,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
45,1,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
59,2,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
41,3,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
24,4,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
25,1,1,0,5,1,3,0,0,0,93.99,-36.4,4.86,5191,0
41,3,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
25,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
29,3,1,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
57,0,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
35,3,2,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
54,5,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
35,3,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
46,3,2,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
50,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
39,6,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
30,7,1,0,5,1,3,0,0,0,93.99,-36.4,4.86,5191,0
55,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
55,5,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
41,4,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
37,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
35,4,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
59,4,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
39,8,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
54,4,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
55,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
46,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
59,4,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
49,3,6,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
54,6,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
54,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
55,2,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
34,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
52,4,3,0,5,1,7,0,0,0,93.99,-36.4,4.86,5191,0
41,2,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
56,4,0,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
58,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
32,10,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
38,2,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
57,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
44,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
42,4,4,0,5,1,3,0,0,0,93.99,-36.4,4.86,5191,0
57,2,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
40,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
35,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
45,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
54,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
39,0,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
60,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
53,2,4,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
55,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
55,4,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
50,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
45,1,1,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
55,7,4,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
25,4,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
47,10,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
51,3,3,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
42,3,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
42,3,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
48,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
37,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
44,3,3,0,5,1,4,0,0,0,93.99,-36.4,4.86,5191,0
33,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
56,2,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
44,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
41,6,2,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
44,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
47,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
57,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
37,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
41,3,0,0,5,1,7,0,0,0,93.99,-36.4,4.86,5191,1
55,4,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
33,1,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
55,6,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
42,3,3,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
50,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
51,3,0,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
38,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
49,10,6,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,1
38,4,6,0,5,1,3,0,0,0,93.99,-36.4,4.86,5191,0
31,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
41,6,2,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
39,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
49,4,3,0,5,1,7,0,0,0,93.99,-36.4,4.86,5191,1
34,2,1,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
35,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
57,2,6,0,5,1,3,0,0,0,93.99,-36.4,4.86,5191,0
60,2,6,0,5,1,5,0,0,0,93.99,-36.4,4.86,5191,0
33,7,3,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
42,3,2,0,5,1,6,0,0,0,93.99,-36.4,4.86,5191,0
